DATE,DIRECTION,ROAD,LOCATION,EVENT,DAY,MONTH,DAYNUM,TIME,YEAR
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 11:17:12 CDT 2018,NB,I-35W,@ 106th St,STALL,Sun,Oct,07,11:17:12,2018
Sun Oct 07 12:40:02 CDT 2018,WB,I-94,@ 63rd Ave,STALL,Sun,Oct,07,12:40:02,2018
Sun Oct 07 12:40:02 CDT 2018,WB,I-94,@ 63rd Ave,STALL,Sun,Oct,07,12:40:02,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:07:22 CDT 2018,SB,T.H.61,S of Kingsborough Tr,CRASH,Sun,Oct,07,14:07:22,2018
Sun Oct 07 14:07:22 CDT 2018,SB,T.H.61,S of Kingsborough Tr,CRASH,Sun,Oct,07,14:07:22,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:05:42 CDT 2018,WB,I-94,@ Shingle Creek Pkwy,CRASH,Sun,Oct,07,14:05:42,2018
Sun Oct 07 14:12:42 CDT 2018,WB,T.H.10,@ Foley Blvd,STALL,Sun,Oct,07,14:12:42,2018
