,Label,Detectors,Lat,Lng
1520,I-35W NB @ Co Rd 42,V35WN02,44.74522,-93.28273
1521,I-35W NB @ Sunset Rd,V35WN11T,45.16839,-93.14095
1522,I-35W NB @ Hennepin Ave,V35WN07,44.99136,-93.23621
1523,I-35W NB S of 86th St,V35WN05,44.84558,-93.29799
1524,I-35W NB @ 42nd St,V35WN06,44.92684,-93.27442
1525,T.H.62 WB @ Hiawatha Ave,V62W01T,44.89838,-93.19917
1526,I-35W NB S of Co Rd E2,V35WN09,45.04802,-93.18869
1527,T.H.61 SB @ Lower Afton Rd,V61S50,44.92627,-93.02081
1528,T.H.61 SB S of 80th St,V61S52,44.82774,-92.95703
1529,I-35W SB @ 106th St,L35WS72_1,44.80983,-93.29171
1530,I-94 EB @ Snelling Ave,L94E72_4,44.9516,-93.16455
1531,I-35W NB @ 33rd St,L35WN49_5,44.94363,-93.27485
1532,I-35 NB (0.55),V35N03,43.50464,-93.3536
1533,I-94 EB @ Snelling Ave,L94E72_2,44.95156,-93.16456
1534,I-94 EB @ Snelling Ave,L94E72_3,44.95159,-93.16455
1535,I-35 NB S of Crystal Lake Rd,V35N05,44.72427,-93.28166
1536,I-94 EB @ Snelling Ave,L94E72_1,44.9515,-93.16455
1537,I-35E NB @ Goose Lake Rd,V35EN13A,45.06358,-93.05554
1538,I-535 NB @ Blatnik Approach,V535N160,46.73206,-92.0985
1539,T.H.610 WB @ Revere Ln,V610W04,45.13087,-93.41106
1540,I-35E NB N of Co Rd 96,V35EN13B,45.08902,-93.05203
1541,I-35W NB @ 94th St,MP35WN08_2,44.83092,-93.29242
1542,I-35W NB @ 94th St,MP35WN08_1,44.83092,-93.29242
1543,I-35E NB @ Arlington Ave,V35EN11A,44.98326,-93.08873
1544,I-35W NB @ 41st St,L35WN47_1,44.9291,-93.2746
1545,I-35W NB @ 41st St,L35WN47_2,44.9291,-93.27465
1546,I-35W SB @ 70th St,MP35WS03_1,44.87631,-93.2986
1547,I-35W NB @ 41st St,L35WN47_3,44.9291,-93.27468
1548,I-35W NB @ 41st St,L35WN47_4,44.9291,-93.27473
1549,I-35W NB @ 41st St,L35WN47_5,44.9291,-93.27477
1550,Unknown location,VWSPORT1,46.73283,-92.1167
1551,T.H.280 SB N of Energy Park Dr,V280S07,44.98094,-93.20323
1552,I-94 EB @ Western Ave,L94E82_5,44.95139,-93.11896
1553,I-94 EB @ Western Ave,L94E82_4,44.95139,-93.11895
1554,I-94 EB @ Western Ave,L94E82_3,44.9514,-93.11894
1555,I-94 EB @ Western Ave,L94E82_2,44.95135,-93.11898
1556,I-35 NB @ Co Rd 9,V35N39,44.37289,-93.29331
1557,I-35W NB @ Cliff Rd,L35WN24_3,44.78256,-93.28856
1558,I-94 EB @ Western Ave,L94E82_1,44.95131,-93.11896
1559,I-35W NB @ Cliff Rd,L35WN24_2,44.78256,-93.28851
1560,I-35W NB @ Cliff Rd,L35WN24_1,44.78256,-93.28847
1561,I-494 NB S of Schmidt Lake Rd,V494N14,45.04281,-93.45228
1562,T.H.212 EB @ Lyman Blvd,V212E04,44.83975,-93.54866
1563,T.H.212 EB @ Dell Rd,V212E05,44.84913,-93.50462
1564,I-494 NB @ Co Rd 6,V494N11,44.99641,-93.45798
1565,I-35 NB (MP 51.00),V35N30,44.2129,-93.2678
1566,T.H.212 EB W of Prairie Center Dr,V212E07,44.86154,-93.44462
1567,T.H.212 EB @ Bavaria Rd,V212E03,44.81351,-93.61245
1568,I-35W SB N of Minnesota River,L35WS73_1,44.80487,-93.29109
1569,I-35W SB N of Minnesota River,L35WS73_2,44.80487,-93.29105
1570,I-35W SB N of Minnesota River,L35WS73_3,44.80487,-93.291
1571,I-35W SB N of Minnesota River,L35WS73_4,44.80487,-93.29096
1572,T.H.169 NB @ 109th Ave,V169N09,45.1443,-93.39109
1573,C.S.A.H.6 WB E of I-494,VHC6W50,44.9968,-93.4517
1574,I-35 NB @ Paper Mill,V35N102,46.73706,-92.162
1575,U.S.169 NB E of Co Rd 83,V169N01,44.78306,-93.45228
1576,U.S.169 NB @ 36th St,V169N03,44.93906,-93.39653
