,Station,Lat,Lng
11557,no ID,44.02401,-92.7676
11558,no ID,44.02362,-92.76627
11559,no ID,44.02343,-92.76555
11560,no ID,44.02333,-92.76502
11561,no ID,44.02306,-92.76336
11562,no ID,44.023,-92.76263
11563,no ID,44.02296,-92.7617
11564,no ID,44.02289,-92.7594
11565,no ID,44.02273,-92.75389
11566,no ID,44.02258,-92.74821
11567,no ID,44.02255,-92.74361
11568,no ID,44.02248,-92.72813
11569,no ID,44.02249,-92.72481
11570,no ID,44.0226,-92.72292
11571,no ID,44.02278,-92.72077
11572,no ID,44.02302,-92.71815
11573,no ID,44.02348,-92.71248
11574,no ID,44.02387,-92.70834
11575,no ID,44.024,-92.7065
11576,no ID,44.02432,-92.70295
11577,no ID,44.02451,-92.70151
11578,no ID,44.02476,-92.70017
11579,no ID,44.02516,-92.6985
11580,no ID,44.02526,-92.6981
11581,no ID,44.02613,-92.69526
11582,no ID,44.02735,-92.69129
11583,no ID,44.02792,-92.68929
11584,no ID,44.02813,-92.68823
11585,no ID,44.02821,-92.68747
11586,no ID,44.02825,-92.68652
11587,no ID,44.02826,-92.67809
11588,no ID,44.02848,-92.65744
11589,no ID,44.02855,-92.65031
11590,no ID,44.02853,-92.64837
11591,no ID,44.02849,-92.63847
11592,no ID,44.02855,-92.63123
11593,no ID,44.02862,-92.62838
11594,no ID,44.02873,-92.62382
11595,no ID,44.02879,-92.62263
11596,no ID,44.02884,-92.62157
11597,no ID,44.02886,-92.61781
11598,no ID,44.02905,-92.60823
11599,no ID,44.02916,-92.59757
11600,no ID,44.02891,-92.59441
11601,no ID,44.02726,-92.57845
11602,no ID,44.02684,-92.57303
11603,no ID,44.02699,-92.57102
11604,no ID,44.02704,-92.57031
11605,no ID,44.02727,-92.56873
11606,no ID,44.02761,-92.56736
11607,no ID,44.02806,-92.5661
11608,no ID,44.02863,-92.56509
11609,no ID,44.02938,-92.56351
11610,no ID,44.03239,-92.55851
11611,no ID,44.03377,-92.55616
11612,no ID,44.03603,-92.5524
11613,no ID,44.03709,-92.55067
11614,no ID,44.03818,-92.54855
11615,no ID,44.03913,-92.54586
11616,no ID,44.04,-92.54212
11617,no ID,44.04034,-92.53904
11618,no ID,44.04035,-92.53645
11619,no ID,44.04005,-92.53317
11620,no ID,44.0395,-92.53025
11621,no ID,44.03794,-92.52314
11622,no ID,44.03702,-92.51907
11623,no ID,44.03673,-92.51753
11624,no ID,44.03584,-92.5134
11625,no ID,44.03462,-92.50802
11626,no ID,44.03359,-92.50352
11627,no ID,44.03242,-92.49819
11628,no ID,44.03121,-92.49275
11629,no ID,44.03095,-92.49122
11630,no ID,44.03075,-92.4901
11631,no ID,44.0306,-92.48924
11632,no ID,44.03051,-92.4884
11633,no ID,44.03032,-92.48689
11634,no ID,44.03028,-92.48637
11635,no ID,44.03022,-92.48579
11636,no ID,44.03013,-92.48498
11637,no ID,44.03003,-92.4845
11638,no ID,44.00695,-92.48261
11639,no ID,44.00695,-92.48251
11640,no ID,44.00694,-92.48216
11641,no ID,44.00697,-92.48196
11642,no ID,44.00698,-92.48111
11643,no ID,44.00695,-92.481
11644,no ID,44.00696,-92.47962
11645,no ID,44.00699,-92.4792
11646,no ID,44.00701,-92.47784
11647,no ID,44.00699,-92.47778
11648,no ID,44.00699,-92.47704
11649,no ID,44.00699,-92.47689
11650,no ID,44.00697,-92.47557
11651,no ID,44.00695,-92.47413
11652,no ID,44.00694,-92.47179
11653,no ID,44.00697,-92.46982
11654,no ID,44.00697,-92.4695
11655,no ID,44.00699,-92.46815
11656,no ID,44.00699,-92.46716
11657,no ID,44.00699,-92.46659
11658,no ID,44.00702,-92.46631
11659,no ID,44.00703,-92.4643
11660,no ID,44.00703,-92.46423
11661,no ID,44.00705,-92.46315
11662,no ID,44.00701,-92.46312
